# AGSS09p2-Free-Opal-D5-PartIon-OV02
#
# 1: num      2:age           3:log(Te)         4:log(L/Lo)       5:Xc         6:NmuMax         7:Rmax  8:Tmax         9:NTmax         10:CpMax         11:KappaMax         12:RhoMax    13:R (Ro)    14:log g    15:(Z/X)s       16:Int((Nmu/r)^1.5)         17:RConv    18: Zs    19: Xs    20: Mass    21: C12(0)    22: Mover    22: He3(0)
   16     5.52204E+03     3.63759E+00     1.28588E+00     7.50000E-01     5.61733E-15     2.53553E+11     4.35723E+05     2.08961E-07     3.57595E+08     1.22948E+02     6.81378E-03     7.76979E+00     2.53540E+00     9.14822E-03     7.82385E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36320E-06
   17     5.93030E+03     3.63779E+00     1.28000E+00     7.50000E-01     6.15348E-15     2.56125E+11     4.29878E+05     2.15406E-07     3.57743E+08     1.27512E+02     6.74859E-03     7.71016E+00     2.54209E+00     9.14822E-03     7.60801E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36324E-06
   18     6.34699E+03     3.63800E+00     1.27412E+00     7.50000E-01     5.61733E-15     2.65407E+11     4.09856E+05     2.32502E-07     3.58186E+08     1.43616E+02     6.34601E-03     7.65104E+00     2.54878E+00     9.14822E-03     7.88351E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36329E-06
   19     6.77228E+03     3.63820E+00     1.26824E+00     7.50000E-01     5.61733E-15     2.61391E+11     4.17260E+05     2.29294E-07     3.58080E+08     1.38250E+02     6.59196E-03     7.59241E+00     2.55546E+00     9.14822E-03     9.24921E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36335E-06
   20     7.20636E+03     3.63840E+00     1.26236E+00     7.50000E-01     6.15348E-15     2.45100E+11     4.51124E+05     2.07637E-07     3.57515E+08     1.15873E+02     7.50123E-03     7.53429E+00     2.56213E+00     9.14822E-03     8.81738E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36342E-06
   21     7.64940E+03     3.63859E+00     1.25649E+00     7.50000E-01     5.61733E-15     2.31769E+11     4.79416E+05     1.91512E-07     3.57163E+08     1.02083E+02     8.31566E-03     7.47665E+00     2.56880E+00     9.14822E-03     9.70594E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36350E-06
   22     8.10158E+03     3.63879E+00     1.25061E+00     7.50000E-01     5.61733E-15     2.56181E+11     4.25512E+05     2.30300E-07     3.58062E+08     1.34046E+02     7.01535E-03     7.41951E+00     2.57547E+00     9.14822E-03     9.42569E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36359E-06
   23     8.56310E+03     3.63899E+00     1.24473E+00     7.50000E-01     6.15348E-15     2.52293E+11     4.33164E+05     2.27115E-07     3.57964E+08     1.29218E+02     7.28617E-03     7.36285E+00     2.58213E+00     9.14822E-03     9.78320E-49     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36369E-06
   24     9.03415E+03     3.63918E+00     1.23885E+00     7.50000E-01     5.61733E-15     2.52154E+11     4.32492E+05     2.29960E-07     3.58025E+08     1.30365E+02     7.34816E-03     7.30667E+00     2.58878E+00     9.14822E-03     1.01654E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36381E-06
   25     9.51493E+03     3.63937E+00     1.23297E+00     7.50000E-01     5.61733E-15     2.52000E+11     4.31795E+05     2.32833E-07     3.58087E+08     1.31545E+02     7.40996E-03     7.25097E+00     2.59543E+00     9.14822E-03     1.07425E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36395E-06
   26     1.00056E+04     3.63956E+00     1.22709E+00     7.50000E-01     5.61733E-15     2.50167E+11     4.34965E+05     2.32917E-07     3.58075E+08     1.29986E+02     7.57414E-03     7.19574E+00     2.60207E+00     9.14822E-03     1.13362E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36410E-06
   27     1.05065E+04     3.63975E+00     1.22121E+00     7.50000E-01     5.02430E-15     2.10220E+11     5.28119E+05     1.76003E-07     3.56825E+08     8.59045E+01     1.02757E-02     7.14097E+00     2.60870E+00     9.14822E-03     1.14056E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36428E-06
   28     1.10177E+04     3.63994E+00     1.21534E+00     7.50000E-01     5.02430E-15     2.35270E+11     4.68507E+05     2.14589E-07     3.57602E+08     1.11003E+02     8.66273E-03     7.08667E+00     2.61533E+00     9.14822E-03     1.24969E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36448E-06
